Duration,Heart_Rate,Calories
28.0,105.0,193.0
10.0,99.0,51.0
25.0,105.0,157.0
27.0,105.0,165.0
6.0,84.0,22.0
17.0,98.0,91.0
2.0,93.0,9.0
14.0,91.0,74.0
5.0,85.0,26.0
11.0,99.0,57.0
10.0,81.0,37.0
29.0,112.0,217.0
11.0,87.0,47.0
24.0,99.0,139.0
4.0,88.0,19.0
16.0,94.0,80.0
17.0,94.0,74.0
10.0,93.0,54.0
28.0,105.0,154.0
26.0,93.0,140.0
10.0,97.0,52.0
15.0,97.0,79.0
17.0,99.0,94.0
28.0,116.0,202.0
27.0,114.0,238.0
19.0,103.0,117.0
7.0,83.0,26.0
23.0,106.0,184.0
28.0,105.0,169.0
1.0,78.0,2.0
27.0,107.0,162.0
13.0,92.0,62.0
21.0,105.0,150.0
27.0,110.0,183.0
25.0,101.0,138.0
15.0,103.0,99.0
23.0,100.0,128.0
12.0,91.0,54.0
18.0,95.0,127.0
5.0,84.0,11.0
18.0,94.0,66.0
11.0,91.0,49.0
10.0,85.0,42.0
7.0,95.0,37.0
3.0,84.0,12.0
29.0,107.0,243.0
5.0,76.0,14.0
28.0,105.0,171.0
28.0,112.0,241.0
20.0,104.0,125.0
26.0,112.0,171.0
9.0,87.0,52.0
28.0,103.0,187.0
24.0,104.0,141.0
28.0,123.0,314.0
26.0,102.0,159.0
9.0,80.0,30.0
28.0,110.0,176.0
25.0,111.0,211.0
8.0,85.0,29.0
21.0,95.0,99.0
27.0,116.0,190.0
7.0,83.0,22.0
30.0,110.0,247.0
5.0,84.0,17.0
8.0,86.0,37.0
21.0,103.0,117.0
10.0,91.0,52.0
2.0,75.0,7.0
10.0,98.0,68.0
17.0,89.0,74.0
24.0,97.0,154.0
26.0,104.0,165.0
17.0,97.0,96.0
13.0,101.0,77.0
17.0,92.0,86.0
21.0,101.0,129.0
26.0,100.0,151.0
28.0,106.0,197.0
13.0,104.0,77.0
5.0,90.0,22.0
27.0,100.0,161.0
25.0,114.0,192.0
8.0,90.0,37.0
20.0,106.0,135.0
11.0,90.0,55.0
10.0,84.0,29.0
12.0,97.0,52.0
1.0,69.0,2.0
21.0,94.0,106.0
6.0,84.0,28.0
22.0,107.0,189.0
26.0,111.0,190.0
13.0,91.0,66.0
22.0,99.0,135.0
4.0,97.0,23.0
12.0,80.0,17.0
5.0,84.0,21.0
13.0,90.0,60.0
10.0,93.0,51.0
5.0,85.0,15.0
9.0,92.0,29.0
27.0,110.0,190.0
11.0,89.0,51.0
17.0,95.0,95.0
29.0,112.0,216.0
30.0,101.0,165.0
20.0,105.0,122.0
15.0,96.0,69.0
20.0,99.0,113.0
7.0,92.0,26.0
5.0,91.0,22.0
12.0,96.0,70.0
4.0,83.0,9.0
15.0,95.0,72.0
25.0,111.0,165.0
29.0,105.0,165.0
15.0,88.0,64.0
18.0,105.0,103.0
4.0,83.0,15.0
9.0,85.0,32.0
14.0,85.0,68.0
25.0,106.0,159.0
6.0,92.0,23.0
13.0,90.0,54.0
2.0,89.0,9.0
29.0,120.0,240.0
10.0,86.0,42.0
14.0,106.0,117.0
26.0,106.0,164.0
23.0,98.0,132.0
2.0,85.0,9.0
15.0,94.0,74.0
23.0,96.0,116.0
8.0,102.0,42.0
24.0,110.0,187.0
16.0,94.0,70.0
7.0,86.0,29.0
9.0,83.0,17.0
28.0,108.0,195.0
19.0,106.0,127.0
14.0,87.0,39.0
6.0,88.0,28.0
16.0,93.0,68.0
17.0,97.0,91.0
16.0,97.0,89.0
2.0,89.0,10.0
28.0,111.0,185.0
5.0,79.0,16.0
19.0,91.0,97.0
13.0,92.0,44.0
10.0,95.0,56.0
21.0,103.0,112.0
10.0,81.0,37.0
9.0,86.0,24.0
30.0,112.0,216.0
15.0,101.0,106.0
14.0,85.0,57.0
18.0,97.0,119.0
16.0,97.0,96.0
7.0,88.0,33.0
23.0,100.0,106.0
25.0,106.0,156.0
14.0,92.0,75.0
18.0,99.0,130.0
21.0,113.0,142.0
22.0,99.0,121.0
24.0,99.0,143.0
20.0,105.0,123.0
26.0,108.0,186.0
13.0,94.0,53.0
27.0,104.0,170.0
15.0,97.0,78.0
26.0,113.0,182.0
11.0,92.0,55.0
25.0,101.0,150.0
6.0,80.0,21.0
6.0,90.0,26.0
18.0,93.0,90.0
16.0,99.0,91.0
17.0,95.0,79.0
29.0,107.0,195.0
10.0,101.0,57.0
18.0,98.0,96.0
7.0,93.0,39.0
4.0,85.0,18.0
4.0,85.0,17.0
15.0,97.0,82.0
19.0,101.0,110.0
25.0,106.0,161.0
25.0,107.0,164.0
5.0,81.0,15.0
12.0,96.0,85.0
23.0,101.0,128.0
14.0,94.0,59.0
2.0,84.0,6.0
18.0,92.0,82.0
25.0,105.0,148.0
3.0,76.0,8.0
14.0,86.0,53.0
16.0,98.0,85.0
22.0,99.0,120.0
28.0,107.0,205.0
4.0,80.0,13.0
28.0,107.0,192.0
4.0,91.0,18.0
7.0,92.0,44.0
26.0,103.0,172.0
27.0,105.0,158.0
6.0,82.0,11.0
25.0,96.0,108.0
23.0,96.0,112.0
14.0,92.0,66.0
10.0,88.0,36.0
4.0,89.0,19.0
10.0,94.0,49.0
26.0,100.0,149.0
2.0,81.0,4.0
28.0,115.0,206.0
23.0,94.0,111.0
28.0,105.0,226.0
11.0,94.0,56.0
7.0,92.0,30.0
15.0,91.0,67.0
22.0,102.0,111.0
27.0,107.0,199.0
15.0,102.0,85.0
2.0,77.0,6.0
28.0,105.0,219.0
21.0,102.0,162.0
25.0,110.0,190.0
30.0,108.0,190.0
9.0,87.0,40.0
9.0,92.0,40.0
3.0,75.0,8.0
8.0,85.0,31.0
21.0,100.0,130.0
7.0,89.0,32.0
22.0,97.0,139.0
3.0,88.0,12.0
11.0,96.0,55.0
9.0,95.0,48.0
24.0,107.0,160.0
13.0,94.0,67.0
25.0,105.0,178.0
17.0,91.0,79.0
9.0,85.0,32.0
22.0,103.0,140.0
14.0,92.0,86.0
16.0,97.0,97.0
28.0,117.0,217.0
21.0,91.0,88.0
21.0,106.0,127.0
7.0,88.0,32.0
5.0,85.0,19.0
20.0,103.0,121.0
12.0,92.0,40.0
9.0,91.0,48.0
25.0,100.0,195.0
10.0,91.0,52.0
4.0,81.0,8.0
26.0,104.0,136.0
6.0,86.0,20.0
3.0,83.0,11.0
26.0,103.0,144.0
13.0,89.0,59.0
10.0,97.0,53.0
8.0,90.0,38.0
29.0,99.0,152.0
8.0,94.0,34.0
3.0,87.0,12.0
1.0,76.0,1.0
28.0,110.0,197.0
20.0,103.0,124.0
15.0,106.0,120.0
9.0,88.0,48.0
17.0,97.0,86.0
25.0,108.0,185.0
8.0,90.0,49.0
11.0,85.0,49.0
11.0,87.0,48.0
14.0,100.0,81.0
19.0,112.0,137.0
24.0,98.0,115.0
19.0,98.0,93.0
8.0,87.0,34.0
26.0,106.0,170.0
6.0,92.0,38.0
26.0,99.0,139.0
18.0,94.0,86.0
26.0,111.0,174.0
5.0,82.0,14.0
29.0,108.0,197.0
17.0,105.0,107.0
19.0,100.0,106.0
3.0,85.0,11.0
6.0,90.0,25.0
23.0,98.0,120.0
22.0,102.0,151.0
18.0,91.0,91.0
18.0,95.0,95.0
23.0,101.0,119.0
3.0,82.0,10.0
19.0,99.0,96.0
13.0,98.0,92.0
24.0,107.0,159.0
21.0,105.0,169.0
15.0,98.0,93.0
15.0,96.0,83.0
22.0,92.0,116.0
17.0,87.0,75.0
26.0,98.0,137.0
15.0,94.0,79.0
8.0,88.0,23.0
4.0,83.0,19.0
11.0,88.0,52.0
16.0,98.0,76.0
10.0,92.0,47.0
22.0,99.0,124.0
7.0,89.0,28.0
22.0,104.0,127.0
19.0,95.0,101.0
26.0,103.0,150.0
9.0,90.0,34.0
13.0,93.0,56.0
27.0,104.0,158.0
22.0,107.0,129.0
10.0,93.0,44.0
11.0,94.0,66.0
28.0,107.0,181.0
14.0,101.0,79.0
21.0,113.0,145.0
28.0,110.0,180.0
15.0,98.0,81.0
15.0,95.0,75.0
2.0,79.0,4.0
17.0,100.0,110.0
9.0,93.0,35.0
5.0,86.0,23.0
29.0,103.0,175.0
27.0,95.0,137.0
27.0,106.0,166.0
21.0,94.0,136.0
24.0,102.0,156.0
8.0,89.0,37.0
16.0,102.0,97.0
18.0,99.0,77.0
28.0,105.0,156.0
11.0,93.0,58.0
10.0,95.0,53.0
19.0,100.0,108.0
11.0,90.0,56.0
19.0,106.0,103.0
22.0,101.0,164.0
13.0,98.0,73.0
2.0,78.0,3.0
15.0,99.0,80.0
17.0,96.0,88.0
14.0,98.0,74.0
16.0,101.0,94.0
6.0,87.0,20.0
9.0,85.0,41.0
20.0,98.0,112.0
12.0,96.0,69.0
24.0,99.0,130.0
21.0,98.0,100.0
27.0,104.0,169.0
27.0,108.0,183.0
29.0,110.0,211.0
6.0,86.0,23.0
14.0,95.0,58.0
4.0,77.0,5.0
12.0,90.0,62.0
3.0,90.0,14.0
23.0,107.0,196.0
16.0,91.0,82.0
28.0,108.0,163.0
25.0,99.0,108.0
15.0,102.0,87.0
18.0,99.0,91.0
26.0,108.0,186.0
8.0,83.0,34.0
11.0,97.0,61.0
21.0,97.0,113.0
5.0,82.0,11.0
13.0,83.0,42.0
2.0,81.0,7.0
14.0,96.0,86.0
7.0,88.0,35.0
20.0,102.0,146.0
7.0,97.0,38.0
28.0,105.0,179.0
10.0,85.0,30.0
14.0,97.0,71.0
16.0,87.0,65.0
2.0,80.0,5.0
29.0,107.0,190.0
9.0,82.0,36.0
15.0,92.0,64.0
29.0,109.0,240.0
27.0,114.0,212.0
22.0,97.0,108.0
5.0,87.0,15.0
23.0,111.0,153.0
10.0,91.0,53.0
18.0,99.0,142.0
15.0,95.0,74.0
23.0,105.0,150.0
17.0,94.0,85.0
3.0,88.0,15.0
5.0,84.0,19.0
3.0,86.0,9.0
3.0,91.0,10.0
2.0,77.0,6.0
24.0,107.0,135.0
30.0,111.0,201.0
28.0,108.0,232.0
13.0,92.0,52.0
6.0,86.0,23.0
18.0,97.0,92.0
19.0,91.0,99.0
10.0,87.0,41.0
26.0,113.0,192.0
2.0,79.0,7.0
27.0,97.0,116.0
21.0,102.0,120.0
2.0,90.0,9.0
3.0,84.0,12.0
4.0,89.0,14.0
8.0,85.0,35.0
24.0,108.0,162.0
27.0,115.0,212.0
20.0,94.0,101.0
23.0,98.0,145.0
2.0,85.0,8.0
11.0,92.0,49.0
9.0,92.0,42.0
18.0,93.0,82.0
3.0,85.0,12.0
17.0,98.0,93.0
8.0,86.0,39.0
25.0,106.0,155.0
16.0,102.0,90.0
20.0,92.0,69.0
18.0,114.0,133.0
12.0,92.0,67.0
5.0,90.0,23.0
2.0,77.0,6.0
27.0,113.0,194.0
2.0,79.0,8.0
12.0,93.0,58.0
21.0,106.0,120.0
13.0,89.0,57.0
18.0,97.0,89.0
16.0,101.0,91.0
22.0,105.0,143.0
24.0,104.0,156.0
5.0,89.0,24.0
6.0,78.0,19.0
26.0,114.0,242.0
22.0,103.0,135.0
3.0,87.0,14.0
28.0,103.0,190.0
23.0,92.0,111.0
9.0,94.0,47.0
28.0,107.0,173.0
20.0,101.0,150.0
8.0,85.0,30.0
17.0,107.0,122.0
29.0,111.0,216.0
28.0,114.0,208.0
3.0,85.0,13.0
8.0,89.0,39.0
11.0,92.0,59.0
21.0,111.0,151.0
1.0,76.0,2.0
17.0,90.0,86.0
19.0,97.0,113.0
23.0,112.0,170.0
7.0,90.0,27.0
3.0,71.0,6.0
24.0,101.0,144.0
8.0,91.0,34.0
14.0,87.0,63.0
15.0,101.0,79.0
11.0,89.0,62.0
12.0,97.0,57.0
3.0,83.0,11.0
24.0,108.0,161.0
8.0,87.0,38.0
5.0,85.0,24.0
22.0,99.0,131.0
29.0,115.0,201.0
20.0,99.0,104.0
27.0,106.0,175.0
11.0,101.0,60.0
4.0,81.0,8.0
29.0,115.0,207.0
15.0,93.0,74.0
20.0,100.0,103.0
3.0,81.0,10.0
12.0,94.0,67.0
8.0,84.0,25.0
16.0,88.0,54.0
14.0,93.0,73.0
17.0,100.0,93.0
6.0,85.0,26.0
16.0,97.0,75.0
21.0,107.0,125.0
25.0,105.0,147.0
4.0,86.0,17.0
18.0,98.0,101.0
15.0,95.0,66.0
11.0,92.0,44.0
19.0,102.0,116.0
5.0,81.0,16.0
4.0,75.0,11.0
11.0,89.0,49.0
15.0,83.0,78.0
5.0,84.0,18.0
1.0,87.0,5.0
19.0,99.0,93.0
2.0,91.0,12.0
3.0,88.0,12.0
7.0,84.0,35.0
7.0,98.0,39.0
9.0,93.0,42.0
4.0,76.0,12.0
15.0,93.0,76.0
26.0,105.0,139.0
25.0,108.0,159.0
19.0,99.0,101.0
1.0,79.0,2.0
26.0,105.0,166.0
3.0,79.0,6.0
13.0,82.0,52.0
26.0,105.0,157.0
24.0,105.0,140.0
16.0,102.0,103.0
30.0,112.0,241.0
10.0,80.0,36.0
3.0,84.0,12.0
16.0,105.0,91.0
15.0,96.0,66.0
14.0,88.0,62.0
23.0,98.0,114.0
4.0,85.0,12.0
27.0,107.0,180.0
4.0,83.0,17.0
16.0,86.0,74.0
27.0,108.0,185.0
18.0,97.0,125.0
2.0,85.0,9.0
17.0,95.0,91.0
8.0,86.0,39.0
27.0,96.0,165.0
22.0,94.0,96.0
7.0,95.0,34.0
22.0,98.0,136.0
7.0,100.0,36.0
9.0,88.0,43.0
16.0,95.0,71.0
8.0,94.0,40.0
24.0,107.0,163.0
26.0,110.0,188.0
4.0,80.0,14.0
3.0,85.0,9.0
18.0,87.0,47.0
27.0,99.0,146.0
25.0,106.0,189.0
14.0,93.0,68.0
11.0,94.0,52.0
14.0,85.0,58.0
5.0,86.0,20.0
12.0,98.0,71.0
12.0,95.0,60.0
8.0,83.0,24.0
16.0,99.0,105.0
8.0,84.0,23.0
30.0,106.0,196.0
10.0,97.0,70.0
6.0,82.0,19.0
12.0,100.0,72.0
10.0,88.0,31.0
14.0,92.0,70.0
21.0,102.0,114.0
2.0,74.0,5.0
26.0,106.0,162.0
19.0,100.0,102.0
7.0,91.0,30.0
26.0,106.0,166.0
5.0,83.0,18.0
8.0,87.0,40.0
3.0,92.0,14.0
23.0,99.0,135.0
23.0,102.0,144.0
17.0,87.0,75.0
10.0,84.0,35.0
3.0,84.0,12.0
20.0,94.0,109.0
6.0,81.0,22.0
24.0,103.0,137.0
17.0,95.0,90.0
15.0,98.0,77.0
23.0,106.0,143.0
17.0,92.0,82.0
20.0,102.0,111.0
18.0,100.0,133.0
4.0,85.0,13.0
7.0,91.0,31.0
19.0,102.0,121.0
8.0,94.0,41.0
20.0,101.0,100.0
20.0,105.0,122.0
12.0,89.0,50.0
9.0,99.0,49.0
28.0,109.0,214.0
26.0,108.0,176.0
29.0,97.0,150.0
27.0,101.0,145.0
13.0,95.0,71.0
13.0,97.0,74.0
25.0,113.0,183.0
5.0,82.0,15.0
21.0,103.0,123.0
21.0,96.0,110.0
19.0,103.0,117.0
26.0,105.0,164.0
13.0,87.0,67.0
3.0,82.0,8.0
12.0,89.0,73.0
4.0,91.0,15.0
14.0,90.0,65.0
8.0,88.0,37.0
22.0,101.0,121.0
16.0,88.0,71.0
19.0,101.0,117.0
7.0,82.0,23.0
29.0,100.0,166.0
16.0,94.0,95.0
1.0,76.0,3.0
22.0,109.0,143.0
1.0,83.0,4.0
28.0,110.0,205.0
17.0,93.0,76.0
9.0,87.0,41.0
14.0,105.0,78.0
2.0,79.0,5.0
9.0,85.0,23.0
26.0,112.0,232.0
16.0,98.0,100.0
16.0,98.0,84.0
10.0,91.0,48.0
22.0,99.0,142.0
2.0,85.0,8.0
3.0,85.0,7.0
24.0,104.0,149.0
21.0,96.0,106.0
14.0,90.0,62.0
18.0,93.0,89.0
27.0,105.0,179.0
10.0,82.0,39.0
26.0,107.0,207.0
3.0,82.0,7.0
11.0,93.0,65.0
5.0,91.0,25.0
13.0,98.0,73.0
22.0,96.0,108.0
28.0,102.0,185.0
21.0,98.0,108.0
19.0,106.0,115.0
6.0,98.0,30.0
28.0,109.0,190.0
13.0,97.0,59.0
10.0,93.0,46.0
28.0,107.0,185.0
6.0,90.0,17.0
26.0,112.0,197.0
16.0,94.0,78.0
20.0,88.0,84.0
3.0,84.0,12.0
25.0,98.0,128.0
22.0,98.0,115.0
8.0,80.0,17.0
25.0,102.0,154.0
19.0,103.0,104.0
15.0,92.0,87.0
27.0,113.0,206.0
8.0,98.0,43.0
12.0,93.0,63.0
23.0,104.0,137.0
8.0,86.0,31.0
6.0,81.0,22.0
13.0,77.0,40.0
22.0,94.0,122.0
22.0,93.0,102.0
26.0,97.0,198.0
28.0,109.0,178.0
19.0,102.0,109.0
25.0,102.0,150.0
21.0,106.0,121.0
5.0,88.0,25.0
16.0,91.0,69.0
28.0,105.0,169.0
9.0,87.0,37.0
16.0,98.0,114.0
14.0,83.0,62.0
16.0,102.0,97.0
17.0,98.0,91.0
17.0,91.0,80.0
24.0,112.0,204.0
23.0,107.0,151.0
5.0,88.0,20.0
21.0,102.0,133.0
14.0,89.0,64.0
9.0,88.0,24.0
11.0,87.0,60.0
27.0,113.0,183.0
7.0,86.0,38.0
22.0,100.0,121.0
27.0,101.0,150.0
14.0,101.0,76.0
27.0,106.0,163.0
9.0,92.0,48.0
5.0,85.0,20.0
6.0,91.0,29.0
8.0,85.0,23.0
11.0,95.0,58.0
24.0,105.0,157.0
19.0,103.0,97.0
4.0,95.0,21.0
29.0,105.0,188.0
17.0,108.0,110.0
16.0,90.0,101.0
3.0,80.0,6.0
5.0,82.0,19.0
5.0,97.0,25.0
18.0,93.0,120.0
29.0,108.0,179.0
20.0,96.0,115.0
20.0,100.0,116.0
8.0,86.0,35.0
14.0,88.0,42.0
12.0,98.0,60.0
11.0,96.0,60.0
27.0,112.0,176.0
1.0,80.0,3.0
3.0,88.0,9.0
2.0,84.0,8.0
7.0,88.0,29.0
2.0,81.0,7.0
27.0,110.0,210.0
3.0,86.0,12.0
5.0,84.0,22.0
17.0,95.0,85.0
21.0,105.0,148.0
25.0,100.0,137.0
2.0,79.0,7.0
17.0,87.0,71.0
14.0,91.0,59.0
5.0,83.0,18.0
5.0,79.0,17.0
19.0,99.0,101.0
29.0,112.0,198.0
7.0,90.0,35.0
11.0,94.0,53.0
22.0,103.0,176.0
20.0,101.0,152.0
3.0,82.0,14.0
13.0,99.0,56.0
16.0,96.0,71.0
30.0,110.0,270.0
12.0,94.0,58.0
10.0,95.0,55.0
10.0,106.0,61.0
8.0,84.0,34.0
10.0,93.0,49.0
17.0,105.0,103.0
9.0,87.0,36.0
6.0,81.0,12.0
3.0,85.0,12.0
14.0,92.0,64.0
29.0,105.0,185.0
22.0,97.0,95.0
19.0,98.0,106.0
20.0,98.0,126.0
20.0,91.0,85.0
27.0,112.0,176.0
8.0,89.0,36.0
27.0,104.0,147.0
